"Variables ->","GDP","CORE_INF","S","RS","GDP_RW","RS_RW","D4L_CORE_INF_TAR","CPI_RW","RW","L_CPI_RW","L_CORE_INF","L_GDP","L_GDP_RW","L_L_CPI_RW","L_RW","L_S","L_Z","DLA_CPI_RW","DLA_CORE_INF","DLA_GDP","DLA_GDP_RW","DLA_L_CPI_RW","DLA_RW","DLA_S","DLA_Z","D4L_CPI_RW","D4L_CORE_INF","D4L_GDP","D4L_GDP_RW","D4L_L_CPI_RW","D4L_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP"
"Comments ->"
"Class[Size] ->","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]"
"2011Q1",1.91543330e+05,1.67000000e+00,9.99000000e+01,3.25000000e+00,2.42337324e+06,1.75000000e+00,1.50000000e+00,1.87000000e+00,1.87726758e+00,6.25938431e-01,5.12823626e+01,1.21628693e+03,1.47006710e+03,-4.68503266e+01+0.00000000e+00i,6.29817305e+01,4.60416969e+02,4.09760544e+02,NaN,NaN,NaN,NaN,NaN+0.00000000e+00i,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN+0.00000000e+00i,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.25505799e+02,-1.57452546e+01,NaN,NaN,NaN,1.13643217e-01,1.21799720e+03,NaN,1.46861410e+03,1.45299961e+00,1.46832878e+03,1.73832075e+00
"2011Q2",1.95314330e+05,1.83000000e+00,1.00440000e+02,3.25000000e+00,2.42276374e+06,2.00000000e+00,1.50000000e+00,2.17000000e+00,2.19717871e+00,7.74727168e-01,6.04315967e+01,1.21823655e+03,1.47004195e+03,-2.55244353e+01+0.00000000e+00i,7.87174135e+01,4.60956053e+02,4.01299184e+02,5.95154947e-01,3.65969362e+01,7.79846406e+00,-1.00616224e-01,8.53035650e+01+0.00000000e+00i,6.29427321e+01,2.15633945e+00,-3.38454418e+01,NaN,NaN,NaN,NaN,NaN+0.00000000e+00i,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27822746e+02,-2.65235625e+01,NaN,NaN,9.26778971e+00,3.29154676e-01,1.21883251e+03,3.34123906e+00,1.46875072e+03,1.29122470e+00,1.46847630e+03,1.56564663e+00
"2011Q3",1.95477340e+05,1.93000000e+00,1.00250000e+02,3.25000000e+00,2.42629700e+06,2.25000000e+00,1.50000000e+00,2.40000000e+00,2.39965093e+00,8.75468737e-01,6.57520003e+01,1.21831997e+03,1.47018768e+03,-1.32995836e+01+0.00000000e+00i,8.75323283e+01,4.60766707e+02,3.95890175e+02,4.02966279e-01,2.12816144e+01,3.33702117e-01,5.82918765e-01,4.88994069e+01+0.00000000e+00i,3.52596591e+01,-7.57387241e-01,-2.16360354e+01,NaN,NaN,NaN,NaN,NaN+0.00000000e+00i,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.30129853e+02,-3.42396780e+01,NaN,NaN,9.22842657e+00,4.31685317e-01,1.21969085e+03,3.43334347e+00,1.46888825e+03,1.29942541e+00,1.46862491e+03,1.56276981e+00
"2011Q4",1.98876850e+05,1.60000000e+00,1.00400000e+02,3.25000000e+00,2.41633633e+06,1.75000000e+00,1.50000000e+00,2.67000000e+00,2.62200714e+00,9.82078472e-01,4.70003629e+01,1.22004411e+03,1.46977630e+03,-1.80840630e+00+0.00000000e+00i,9.63940107e+01,4.60916221e+02,4.14897936e+02,4.26438940e-01,-7.50065495e+01,6.89652966e+00,-1.64549878e+00,4.59647093e+01+0.00000000e+00i,3.54467296e+01,5.98056428e-01,7.60310448e+01,NaN,NaN,NaN,NaN,NaN+0.00000000e+00i,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.32400701e+02,-1.75027646e+01,NaN,NaN,9.08339139e+00,2.65350298e-01,1.22057147e+03,3.52250204e+00,1.46902841e+03,7.47898474e-01,1.46877667e+03,9.99637162e-01
"2012Q1",1.95824320e+05,1.27000000e+00,9.96200000e+01,3.00000000e+00,2.41111436e+06,1.75000000e+00,1.50000000e+00,2.80000000e+00,2.81487886e+00,1.02961942e+00,2.39016900e+01,1.21849732e+03,1.46955996e+03,2.91892361e+00+0.00000000e+00i,1.03491923e+02,4.60136295e+02,4.37264224e+02,1.90163779e-01,-9.23946915e+01,-6.18714327e+00,-8.65379658e-01,1.89093196e+01+0.00000000e+00i,2.83916485e+01,-3.11970384e+00,8.94651514e+01,4.03680986e-01,-2.73806726e+01,2.21038814e+00,-5.07143974e-01,4.97692502e+01+0.00000000e+00i,4.05101923e+01,-2.80673801e-01,2.75036798e+01,3.03806726e+01,1.34631901e+00,3.49292612e+01,-4.54858863e+00,4.34587472e+02,2.67675198e+00,1.77048119e+00,-4.24162176e-01,8.74708497e+00,-1.17285009e-01,1.22147300e+03,3.60612741e+00,1.46917371e+03,3.86250768e-01,1.46893462e+03,6.25341159e-01
"2012Q2",2.00141880e+05,7.00000000e-01,9.97800000e+01,3.00000000e+00,2.40469097e+06,1.75000000e+00,1.50000000e+00,2.73000000e+00,2.77158143e+00,1.00430161e+00,-3.56674944e+01,1.22067818e+03,1.46929320e+03,4.29238372e-01+0.00000000e+00i,1.01941807e+02,4.60296776e+02,4.96968572e+02,-1.01271232e-01,-2.38276738e+02,8.72343371e+00,-1.06705207e+00,-9.95874094e+00+0.00000000e+00i,-6.20046356e+00,6.41925915e-01,2.38817392e+02,2.29574442e-01,-9.60990911e+01,2.44163056e+00,-7.48752936e-01,2.59536737e+01+0.00000000e+00i,2.32243934e+01,-6.59277186e-01,9.56693883e+01,9.90990911e+01,1.52042556e+00,3.16397139e+01,6.74593772e+01,4.36631410e+02,6.03371625e+01,1.70586478e+00,-1.85439222e-01,8.17575041e+00,-4.41131827e-01,1.22239341e+03,3.68163639e+00,1.46932716e+03,-3.39603051e-02,1.46910243e+03,1.90767428e-01
"2012Q3",2.02365590e+05,5.00000000e-01,9.94500000e+01,3.00000000e+00,2.40219497e+06,1.50000000e+00,1.50000000e+00,2.70000000e+00,2.69654975e+00,9.93251773e-01,-6.93147181e+01,1.22178312e+03,1.46918934e+03,-6.77109923e-01+0.00000000e+00i,9.91973084e+01,4.59965501e+02,5.30273470e+02,-4.41993447e-02,-1.34588895e+02,4.41975921e+00,-4.15404111e-01,-4.42539318e+00+0.00000000e+00i,-1.09779940e+01,-1.32510285e+00,1.33219592e+02,1.17783036e-01,-1.35066718e+02,3.46314483e+00,-9.98333655e-01,1.26224737e+01+0.00000000e+00i,1.16649801e+01,-8.01206089e-01,1.34383295e+02,1.38066718e+02,1.38221696e+00,2.83473237e+01,1.09719395e+02,4.38475430e+02,9.17980407e+01,1.64098327e+00,-2.58766306e-01,7.37607957e+00,-4.05978132e-01,1.22333004e+03,3.74652492e+00,1.46949199e+03,-3.02640776e-01,1.46928416e+03,-9.48112601e-02
"2012Q4",2.06394230e+05,8.70000000e-01,1.00150000e+02,3.00000000e+00,2.39160423e+06,1.50000000e+00,1.50000000e+00,2.53000000e+00,2.48591387e+00,9.28219303e-01,-1.39262067e+01,1.22375434e+03,1.46874749e+03,-7.44872565e+00+0.00000000e+00i,9.10640346e+01,4.60666906e+02,4.75521332e+02,-2.60129881e-01,2.21554045e+02,7.88486588e+00,-1.76740940e+00,-2.70864629e+01+0.00000000e+00i,-3.25330954e+01,2.80562272e+00,-2.19008552e+02,-5.38591697e-02,-6.09265697e+01,3.71022889e+00,-1.02881131e+00,-5.64031935e+00+0.00000000e+00i,-5.32997612e+00,-2.49314515e-01,6.06233960e+01,6.39265697e+01,1.55385917e+00,2.50914099e+01,3.88351598e+01,4.40100158e+02,3.54211738e+01,1.57545566e+00,-2.15964875e-02,6.49891537e+00,4.90237616e-02,1.22427966e+03,3.79844323e+00,1.46967141e+03,-9.23918857e-01,1.46948398e+03,-7.36484770e-01
